Name|Full name|Start time|Result|Category
_1_ExtractPolicy|SpecFlowAutomation.Tests.Features._018_ExtractAndDeleteBaselinePoliciesForApplicationIOSFeature._1_ExtractPolicy|2024-11-13T20:09:25Z|Passed|smoke|
_2_DeletePolicy|SpecFlowAutomation.Tests.Features._018_ExtractAndDeleteBaselinePoliciesForApplicationIOSFeature._2_DeletePolicy|2024-11-13T20:10:33Z|Passed|smoke|
_1_ExtractPolicy|SpecFlowAutomation.Tests.Features._019_ExtractAndDeleteBaselinePoliciesForApplicationWebAppFeature._1_ExtractPolicy|2024-11-13T20:10:51Z|Passed|smoke|
_2_DeletePolicy|SpecFlowAutomation.Tests.Features._019_ExtractAndDeleteBaselinePoliciesForApplicationWebAppFeature._2_DeletePolicy|2024-11-13T20:11:49Z|Passed|smoke|
_1_ExtractPolicy|SpecFlowAutomation.Tests.Features._020_ExtractAndDeleteBaselinePoliciesForApplicationWindowsFeature._1_ExtractPolicy|2024-11-13T20:12:15Z|Passed|smoke|
_2_DeletePolicy|SpecFlowAutomation.Tests.Features._020_ExtractAndDeleteBaselinePoliciesForApplicationWindowsFeature._2_DeletePolicy|2024-11-13T20:13:29Z|Passed|smoke|
_1_ExtractPolicy|SpecFlowAutomation.Tests.Features._021_ExtractAndDeleteBaselinePoliciesForDeviceConfigurationIOSFeature._1_ExtractPolicy|2024-11-13T20:13:53Z|Passed|smoke|
_2_DeletePolicy|SpecFlowAutomation.Tests.Features._021_ExtractAndDeleteBaselinePoliciesForDeviceConfigurationIOSFeature._2_DeletePolicy|2024-11-13T20:14:49Z|Passed|smoke|
_1_ExtractPolicy|SpecFlowAutomation.Tests.Features._022_ExtractAndDeleteBaselinePoliciesForDeviceConfigurationWindowsFeature._1_ExtractPolicy|2024-11-13T20:15:08Z|Passed|smoke|
_2_DeletePolicy|SpecFlowAutomation.Tests.Features._022_ExtractAndDeleteBaselinePoliciesForDeviceConfigurationWindowsFeature._2_DeletePolicy|2024-11-13T20:16:00Z|Passed|smoke|
_1_ExtractPolicy|SpecFlowAutomation.Tests.Features._023_ExtractAndDeleteBaselinePoliciesForDeviceConfigurationWindowsOmaSettingsFeature._1_ExtractPolicy|2024-11-13T20:16:18Z|Passed|smoke|
_2_DeletePolicy|SpecFlowAutomation.Tests.Features._023_ExtractAndDeleteBaselinePoliciesForDeviceConfigurationWindowsOmaSettingsFeature._2_DeletePolicy|2024-11-13T20:17:07Z|Passed|smoke|
_1_ExtractPolicy|SpecFlowAutomation.Tests.Features._024_ExtractAndDeleteBaselinePoliciesForScriptsWindowsFeature._1_ExtractPolicy|2024-11-13T20:17:26Z|Passed|smoke|
_2_DeletePolicy|SpecFlowAutomation.Tests.Features._024_ExtractAndDeleteBaselinePoliciesForScriptsWindowsFeature._2_DeletePolicy|2024-11-13T20:18:29Z|Passed|smoke|
_1_CreatePolicy|SpecFlowAutomation.Tests.Features._025_CreateAndDeleteBaselinePoliciesForApplicationConfigurationsIOSFeature._1_CreatePolicy|2024-11-13T20:18:47Z|Passed|smoke|
_2_DeletePolicy|SpecFlowAutomation.Tests.Features._025_CreateAndDeleteBaselinePoliciesForApplicationConfigurationsIOSFeature._2_DeletePolicy|2024-11-13T20:19:19Z|Passed|smoke|
_1_ExtractPolicy|SpecFlowAutomation.Tests.Features._026_ExtractAndDeleteBaselinePoliciesForApplicationConfigurationsIOSFeature._1_ExtractPolicy|2024-11-13T20:19:36Z|Passed|smoke|
_2_DeletePolicy|SpecFlowAutomation.Tests.Features._026_ExtractAndDeleteBaselinePoliciesForApplicationConfigurationsIOSFeature._2_DeletePolicy|2024-11-13T20:20:19Z|Passed|smoke|
BrowseApplicationCatalogue|SpecFlowAutomation.Tests.Features._027_ApplicationCatalogueFeature.BrowseApplicationCatalogue|2024-11-13T20:20:37Z|Passed|smoke|
_1_FilterBrowsePolicy("CHECKED OUT","10",null)|SpecFlowAutomation.Tests.Features._03_BrowsePoliciesFeature._1_FilterBrowsePolicy("CHECKED OUT","10",null)|2024-11-13T20:21:15Z|Passed|smoke|
_1_FilterBrowsePolicy("IDLE","50",null)|SpecFlowAutomation.Tests.Features._03_BrowsePoliciesFeature._1_FilterBrowsePolicy("IDLE","50",null)|2024-11-13T20:21:37Z|Passed|smoke|
_1_FilterBrowsePolicy("PROMOTING","20",null)|SpecFlowAutomation.Tests.Features._03_BrowsePoliciesFeature._1_FilterBrowsePolicy("PROMOTING","20",null)|2024-11-13T20:21:58Z|Passed|smoke|
_1_FilterBrowsePolicy("PROMOTION FAILED","20",null)|SpecFlowAutomation.Tests.Features._03_BrowsePoliciesFeature._1_FilterBrowsePolicy("PROMOTION FAILED","20",null)|2024-11-13T20:22:18Z|Passed|smoke|
_1_FilterBrowsePolicy("PROMOTION PENDING","20",null)|SpecFlowAutomation.Tests.Features._03_BrowsePoliciesFeature._1_FilterBrowsePolicy("PROMOTION PENDING","20",null)|2024-11-13T20:22:50Z|Passed|smoke|
_1_FilterBrowsePolicy("REVIEW PROMOTION","20",null)|SpecFlowAutomation.Tests.Features._03_BrowsePoliciesFeature._1_FilterBrowsePolicy("REVIEW PROMOTION","20",null)|2024-11-13T20:23:12Z|Passed|smoke|
_1_FilterBrowsePolicy("UNKNOWN","20",null)|SpecFlowAutomation.Tests.Features._03_BrowsePoliciesFeature._1_FilterBrowsePolicy("UNKNOWN","20",null)|2024-11-13T20:23:34Z|Passed|smoke|
